Rank,URL,Name,Industry,IncorporationYear,RevenueRsCrore,RevenueChange,NetOperatingIncomeRsCrore,NetOperatingIncomeChange,ProfitRsCrore,ProfitChange,AssetsRsCrore,AssetsChange,NetWorthRsCrore,NetWorthChange,EquityDividendRsCrore,EquityDividendChange,EmployeeCostRsCrore,EmployeeCostChange
920,https://www.fortuneindia.com/next-500/company/v-trans-india?year=2017,V Trans (India),transport logistics,1990,779.75,11.74,774.39,11.36,31.98,10.16,222.08,16.52,171.29,17.12,5.74,0,74.63,15.9
921,https://www.fortuneindia.com/next-500/company/mirc-electronics?year=2017,MIRC Electronics,consumer durables,1981,779.63,30.07,772.21,28.07,19.45,0,340.55,7.97,137.57,9.09,0,0,71.12,7.31
922,https://www.fortuneindia.com/next-500/company/agro-tech-foods?year=2017,Agro Tech Foods,food & agri products,1986,779.58,1.89,782.09,2.94,23.19,37.19,443.67,26.52,337.23,7.47,0,0,47.17,11.94
923,https://www.fortuneindia.com/next-500/company/emerson-electric-company-india?year=2017,Emerson Electric Company (India),capital goods,1995,779.37,9.45,736.67,8.64,99.38,61.38,671.44,17.95,626.51,18.85,0,0,370.77,6.37
924,https://www.fortuneindia.com/next-500/company/dtdc-express?year=2017,DTDC Express,transport logistics,1990,772.42,11.7,769.43,11.61,3.24,75.68,218.16,36.94,126.37,17.4,1.1,0,133.45,31.14
925,https://www.fortuneindia.com/next-500/company/tamil-nadu-petro-products?year=2017,Tamil Nadu Petro Products,basic materials,1984,771.93,14.41,700.62,26.24,36.9,0,372.13,0.2,282.49,15.03,0,0,32.71,19.73
926,https://www.fortuneindia.com/next-500/company/goodricke-group?year=2017,Goodricke Group,tea & coffee,1977,770.08,24.73,744.23,23.69,12.89,0,200.67,13.25,189.85,10.93,8.64,0,275.15,28.79
927,https://www.fortuneindia.com/next-500/company/panama-petrochem?year=2017,Panama Petrochem,basic materials,1982,768.96,5.86,751.73,6.65,25.15,42.01,329.81,13.4,272.4,9.36,2.02,0,5.54,34.79
928,https://www.fortuneindia.com/next-500/company/valecha-engineering?year=2017,Valecha Engineering,real estate,1977,767.37,11.15,750.45,9.71,232.87,0,1298.25,7.75,15.44,92.92,0,0,23.14,21.51
929,https://www.fortuneindia.com/next-500/company/ncl-industries?year=2017,NCL Industries,cement,1979,766.51,26.52,750.25,25.08,53.08,496.4,433.91,15.64,196.81,28.95,7.35,0,27.52,17.61
930,https://www.fortuneindia.com/next-500/company/majesco?year=2017,Majesco,infotech,2013,766.23,0,757.15,0,6.89,0,492.06,0,275.94,0,0,0,505.57,0
931,https://www.fortuneindia.com/next-500/company/nitin-spinners?year=2017,Nitin Spinners,textiles & garments,1992,765.87,22.54,766.86,24.39,44.16,7.81,563.06,2.46,205.64,23.15,4.58,0,43.14,25.85
932,https://www.fortuneindia.com/next-500/company/delphi-automotive-systems-private?year=2017,Delphi Automotive Systems Private,auto ancillaries,1995,765.24,9.42,734.58,10.25,24.94,130.5,350.49,1.26,213.7,92.94,0,0,169.81,9.72
933,https://www.fortuneindia.com/next-500/company/universal-cables?year=2017,Universal Cables,capital goods,1945,763.73,9.94,748.34,7.83,19.55,0,507.52,4.96,186.35,69.9,0,0,46.37,9.83
934,https://www.fortuneindia.com/next-500/company/sanghi-industries?year=2017,Sanghi Industries,cement,1985,763.37,20.12,776.74,16.68,1.53,95,1622.17,6.54,912.39,0.17,0,0,37.8,18.64
935,https://www.fortuneindia.com/next-500/company/wpil?year=2017,WPIL,capital goods,1952,762.66,64.36,730.92,51.32,1.01,94.54,602.44,56.94,244.82,1.13,1.95,0,205.82,140.53
936,https://www.fortuneindia.com/next-500/company/suashish-diamonds?year=2017,Suashish Diamonds,gems & jewellery,1988,762.12,13.36,748.47,10.46,73.48,11.6,1108.38,5.18,1002.23,7.93,0,0,41.39,67.5
937,https://www.fortuneindia.com/next-500/company/prataap-snacks?year=2017,Prataap Snacks,food & agri products,2009,759.68,35.13,757.19,35.5,20.86,365.63,256.55,13.87,199.93,11.81,0,0,18.36,33.72
938,https://www.fortuneindia.com/next-500/company/gmmco?year=2017,GMMCO,capital goods,1999,758.59,8.44,676.92,38.17,72.13,1.22,1086.97,0.94,627.41,9.28,17.04,0,158.84,20.71
939,https://www.fortuneindia.com/next-500/company/jay-shree-tea-industries?year=2017,Jay Shree Tea & Industries,tea & coffee,1945,756.91,1.38,744,3.22,8.13,0,854.73,9.62,398.71,5.82,2.83,0,222.14,14.09
940,https://www.fortuneindia.com/next-500/company/db-realty?year=2017,DB Realty,real estate,2000,756.59,25.11,218.05,17.23,24.9,0,5405.52,14.86,3365.55,1.35,0,0,21.87,20.63
941,https://www.fortuneindia.com/next-500/company/sagar-cements?year=2017,Sagar Cements,cement,1981,754.59,18.13,753.42,37.45,46.1,84.46,1054,27.55,549.63,5.43,8.69,0,41.01,22.6
942,https://www.fortuneindia.com/next-500/company/avon-cycles?year=2017,Avon Cycles,consumer durables,1951,750,17.7,743.49,18.05,64.48,75.98,420.41,19.08,343.99,20.01,5.38,0,26.23,16.22
943,https://www.fortuneindia.com/next-500/company/uti-asset-management-company?year=2017,UTI Asset Management Company,asset management (mfs),2002,749.58,14.86,746.35,14.73,232.05,15.3,1609.53,13.56,1578.59,18.17,0,0,246.08,19.32
944,https://www.fortuneindia.com/next-500/company/just-dial?year=2017,Just Dial,online classifieds,1993,749.32,17.32,690.83,17.13,141.85,2.17,676.16,0.18,671.6,0.26,0,0,377.41,22.23
945,https://www.fortuneindia.com/next-500/company/karur-kcp-packkagings?year=2017,Karur KCP Packkagings,packaging,1991,749.08,7.42,711.05,6.68,2.33,73.97,785.93,1.56,164.32,5.82,0,0,18.65,8.04
946,https://www.fortuneindia.com/next-500/company/ginni-filaments?year=2017,Ginni Filaments,textiles & garments,1982,748.5,11.78,750.3,11.49,4.4,43.44,443.8,6.61,141.4,3.21,0,0,49.58,4.75
947,https://www.fortuneindia.com/next-500/company/alicon-castalloy?year=2017,Alicon Castalloy,auto ancillaries,1990,746.68,3.9,748.91,4.95,22.2,11.9,344.35,10.65,143.04,11.74,4.6,0,100.42,1.27
948,https://www.fortuneindia.com/next-500/company/patel-infrastructure?year=2017,Patel Infrastructure,engineering & construction,2004,746.6,69.91,659.73,55.46,67.31,450.82,364.61,43.18,192.89,53.61,0,0,41.22,66.55
949,https://www.fortuneindia.com/next-500/company/bank-of-nova-scotia?year=2017,Bank of Nova Scotia,banking,1994,746.24,23.97,638.97,15.69,124.3,24.02,10672.7,0.81,1808.5,0.09,0,0,42.24,11.02
950,https://www.fortuneindia.com/next-500/company/gujarat-pipavav-port?year=2017,Gujarat Pipavav Port,port,1992,745.16,2.69,659.95,4.85,236.66,23.61,1954.06,6.31,1916.37,7.01,91.85,0,47.1,4.64
